"annot","gene","celltype"
2,"AI847670","Th0"
1,"Idua","Th0"
2,"Plek","Th0"
1,"Marcks","Th0"
2,"Cdca2","Th0"
1,"Smc6","Th0"
1,"Alkbh4","Th0"
3,"Tcfe3","Th0"
1,"Lck","Th0"
1,"Hdac5","Th0"
2,"Anxa9","Th0"
1,"Csnrp2","Th0"
2,"Nts","Th0"
2,"Pard6a","Th0"
2,"Cacnb3","Th0"
1,"Zzef1","Th0"
1,"Sox4","Th0"
2,"2900010M23Rik","Th0"
1,"Pik3r3","Th0"
2,"Foxq1","Th0"
2,"Rnaseh2b","Th0"
1,"Gramd1a","Th0"
3,"Eif3b","Th0"
2,"Fancd2","Th0"
2,"Kpna3","Th0"
1,"Pde4a","Th0"
